{'cf': 'ui', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.3547]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.3937]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.4276]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.4623]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.4950]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.5267]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.5591]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.5946]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.6300]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.6675]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.7028]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.7376]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.7713]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.8029]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.8383]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.8751]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.9059]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.9384]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [24.9753]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.0108]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.0438]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.0762]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.1104]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.1430]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.1781]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.2145]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.2487]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.2833]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.3158]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.3509]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.3864]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.4161]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.4510]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.4849]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.5212]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.5544]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.5867]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.6218]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.6528]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.6826]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.7183]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.7541]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.7877]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.8246]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.8605]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.8966]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.9288]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [25.9659]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.0029]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.0391]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.0701]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.1044]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.1399]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.1754]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.2100]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.2418]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.2772]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.3095]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.3438]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.3800]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.4177]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.4516]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.4861]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.5222]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.5572]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.5916]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.6286]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.6626]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.6979]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.7348]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.7681]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [26.8013]
