{'cf': 'ur', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7174]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7300]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7395]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7480]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7575]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7660]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7748]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7828]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7908]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.7994]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8076]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8154]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8231]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8310]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8390]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8466]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8551]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8643]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8726]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8798]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8879]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.8961]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9035]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9117]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9211]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9295]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9376]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9458]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9533]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9615]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9707]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9788]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9873]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [7.9951]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.0030]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [8.0125]
